[DEBUG]20151112@09:16:32,963:org.apache.http.client.protocol.RequestAuthCache - Auth cache not set in the context
[DEBUG]20151112@09:16:32,963:org.apache.http.impl.conn.PoolingHttpClientConnectionManager - Connection request: [route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
[DEBUG]20151112@09:16:32,963:org.apache.http.impl.conn.PoolingHttpClientConnectionManager - Connection leased: [id: 2][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
[DEBUG]20151112@09:16:32,963:org.apache.http.impl.execchain.MainClientExec - Opening connection {}->http://127.0.0.1:7055
[DEBUG]20151112@09:16:32,963:org.apache.http.impl.conn.DefaultHttpClientConnectionOperator - Connecting to /127.0.0.1:7055
[DEBUG]20151112@09:16:32,964:org.apache.http.impl.conn.DefaultHttpClientConnectionOperator - Connection established 127.0.0.1:54525<->127.0.0.1:7055
[DEBUG]20151112@09:16:32,964:org.apache.http.impl.conn.DefaultManagedHttpClientConnection - http-outgoing-2: set socket timeout to 10800000
[DEBUG]20151112@09:16:32,964:org.apache.http.impl.execchain.MainClientExec - Executing request POST /hub/session/e8de338d-7b1d-db44-a767-9e6f56d7c539/timeouts HTTP/1.1
[DEBUG]20151112@09:16:32,964:org.apache.http.impl.execchain.MainClientExec - Target auth state: UNCHALLENGED
[DEBUG]20151112@09:16:32,964:org.apache.http.impl.execchain.MainClientExec - Proxy auth state: UNCHALLENGED
[DEBUG]20151112@09:16:32,964:org.apache.http.headers - http-outgoing-2 >> POST /hub/session/e8de338d-7b1d-db44-a767-9e6f56d7c539/timeouts HTTP/1.1
[DEBUG]20151112@09:16:32,964:org.apache.http.headers - http-outgoing-2 >> Content-Type: application/json; charset=utf-8
[DEBUG]20151112@09:16:32,964:org.apache.http.headers - http-outgoing-2 >> Content-Length: 30
[DEBUG]20151112@09:16:32,964:org.apache.http.headers - http-outgoing-2 >> Host: 127.0.0.1:7055
[DEBUG]20151112@09:16:32,964:org.apache.http.headers - http-outgoing-2 >> Connection: Keep-Alive
[DEBUG]20151112@09:16:32,964:org.apache.http.headers - http-outgoing-2 >> User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0_45)
[DEBUG]20151112@09:16:32,964:org.apache.http.headers - http-outgoing-2 >> Accept-Encoding: gzip,deflate
